Reclamacao,Categoria,Cluster,Comprimento
"Nubank falha ao contestar transação via PIX e cliente perde R$ 200,00 em [Editado pelo Reclame Aqui]",Cartão de Crédito,0,100
Bloqueio e Desativação de Conta Nubank sem Permissão ou Motivo,Bloqueio de Conta,1,62
Banco não libera crédito nem aumenta limite mesmo com pagamento em dia e movimentação alta,Cartão de Crédito,3,90
"Não consigo acessar minha conta após troca de aparelho celular, impactando pagamentos.",Acesso à Conta,1,86
"Não consigo acessar minha conta após troca de aparelho celular, impactando pagamentos.",Acesso à Conta,1,86
Contestação de PIX negada apesar de evidências de [Editado pelo Reclame Aqui] e histórico de devolução pela Nubank,Problemas com PIX,0,114
Cobrança Indevida Após Desativação de Conta Nubank e Solicitação de Encerramento Definitivo,Cobrança Indevida,2,91
"Falha na portabilidade e no plano, cliente sem serviço e sem internet",Outros,0,69
"Pix Protegido Nubank: Sinistro Aprovado em 13/03, Mas Indenização de R$400,00 Não Creditada Após Dias",Problemas com PIX,1,101
Compra duplicada no cartão e falha no estorno e atendimento,Atendimento,3,59
Nubank ignora contestação de Pix e não oferece suporte para estorno de transferências indevidas,Atendimento,0,95
Solicitação de aumento de limite negada,Cartão de Crédito,3,39
"Compra não reconhecida no cartão de crédito via Aplicativo Shein no valor de R$ 598,73",Cartão de Crédito,3,86
Impossibilidade de Acesso à Conta PJ e Investimentos na NuBank gera transtornos financeiros e operacionais,Acesso à Conta,1,106
"Nubank cancelou cartão de crédito após pagamento da fatura, gerando transtornos ao cliente.",Cartão de Crédito,3,91
Nubank Cobrança de Juros Abusivos..w,Cobrança Indevida,2,36
Conta bloqueada por motivos de segurança sem notificação prévia e saldo indisponível para necessidades básicas.,Outros,1,111
Solicitação de Reativação de Cartão de Crédito Nubank após Insatisfação com Limite,Cartão de Crédito,3,82
Nubank: Oferta de empréstimo de R$ 50.000 negada para solicitação de R$ 8.000 após envio de comprovante de renda,Empréstimo,1,112
Celular Furtado e Transações [Editado pelo Reclame Aqui]: Banco Recusa Contestação e Cliente Busca Reembolso para Tratamento de Filho Autista,Atendimento,0,141
Bloqueio de conta,Bloqueio de Conta,1,17
Descumprimento de acordo + cobranças sucessivas após quitação,Cobrança Indevida,3,61
Cobrança indevida e aumento de dívida no cartão de crédito,Cartão de Crédito,2,58
Cartão Nubank não recebido após confirmação de entrega,Cartão de Crédito,3,54
Solicitação de Reativação de Conta Nubank - Encerramento Sem Explicação Detalhada,Bloqueio de Conta,1,81
Cancelamento arbitrário de conta PJ após atualização cadastral,Outros,1,62
Conta bloqueada e desativada após recebimento de estorno rápido,Problemas com PIX,1,63
"Nubank: Mal educado, recusa reativação de cartão de crédito e não resolve o problema",Atendimento,3,84
Encerramento de conta indevido e solicitação de reativação para manter seguro.,Cobrança Indevida,1,78
Cobrança de juros indevidos em empréstimo consignado após falha no débito automático.,Empréstimo,2,85
Empréstimo CLT: Falha no desconto em folha e cobrança indevida de juros,Empréstimo,2,71
Seguro Pix Protegido Nubank não cumpre com o pagamento após [Editado pelo Reclame Aqui] e trata cliente com descaso,Problemas com PIX,0,115
Cobrança indevida de dívida prescrita,Cobrança Indevida,2,37
"Terceiro pedido de cartão, com atrasos e não recebimento em tentativas anteriores",Cartão de Crédito,3,81
Nubank: Dívida paga indevidamente negativada no Banco Central prejudicando crédito.,Cobrança Indevida,0,83
Cancelamento Inesperado de Conta e Cartão Nubank sem Justificativa,Cartão de Crédito,1,66
Limite do cartão de crédito não restabelecido após acordo de pagamento,Cartão de Crédito,3,70
"Cobrança indevida de R$ 3.999,99 sem prestação de serviço e contestação sem solução",Cobrança Indevida,2,83
"Cobrança indevida de corrida não realizada no cartão de crédito, diferente do valor e quantidade de corridas Uber utilizadas.",Cartão de Crédito,2,125
Transferência de custódia fica em análise e não sai disto.,Problemas com PIX,0,58
Bloqueio e Cancelamento de Conta Bancária: Urgente Desbloqueio Necessário,Bloqueio de Conta,1,73
Nubank: Conta Bloqueada e Dificuldade na Reativação,Outros,1,51
Juros abusivos no cartão de crédito e empréstimo,Empréstimo,3,48
Cobrança dupla indevida e solicitação de estorno urgente,Problemas com PIX,2,56
Cobrança indevida de compras não reconhecidas após [Editado pelo Reclame Aqui] de cartão Nubank,Cartão de Crédito,2,95
Erro de acesso à conta: senha incorreta e falha no reconhecimento facial,Acesso à Conta,1,72
"Nubank engoliu 90,00 da caixinha para construir limite",Cartão de Crédito,3,54
"Bloqueio indevido de cartão PF devido a dívida inexistente em cartão PJ, com falha no desbloqueio pelo app.",Cartão de Crédito,1,107
Estou sendo cobrada novamente bole,Outros,0,34
"Nubank cancela cartão e empréstimo após solicitação de aumento de limite, mesmo com histórico de pagamentos em dia.",Empréstimo,3,115
"Nubank cancela conta após Pix de R$ 5.000,00 sem aviso ou justificativa, violando o CDC",Problemas com PIX,1,87
Erro no acesso à conta: Impossibilidade de login devido a e-mail cadastrado incorretamente.,Acesso à Conta,1,91
Cartão de crédito bloqueado após pagamento e com limite baixo,Cartão de Crédito,3,61
Compra de plataforma de concursos não recebida e dificuldade no cancelamento e reembolso via Nubank,Cartão de Crédito,0,99
"Conta Nubank indisponível há 10 dias, causando transtornos e perda de confiança",Outros,1,79
Impossibilidade de reativação de conta bancária desativada anteriormente,Acesso à Conta,1,72
Número Bank: Cobrança de dívida i..ra,Cobrança Indevida,2,37
"Nubank [Editado pelo Reclame Aqui] meu dinheiro da caixinha para pagar fatura do cartão de crédito sem autorização, resultando em cancelamento de conta e processo judicial.",Cartão de Crédito,0,172
Cobrança de fatura parcelada com juros abusivos,Cobrança Indevida,2,47
Bloqueio de Conta PJ no Nubank impede atividades de trabalho e pagamento de contas.,Acesso à Conta,1,83
"Cartão de crédito cancelado após renegociação e pagamento, descumprindo acordo.",Cartão de Crédito,3,79
Promessa de retorno de limite após pagamento não cumprida,Cartão de Crédito,3,57
Nubank Cobrança Indevida de Investimento e Falta de Suporte,Atendimento,2,59
"Cancelamento do Cartão Nubank após pagamento de fatura com atraso, mesmo com empréstimos em dia.",Empréstimo,3,96
Valor da caixinha retido indevidamente e fatura no rotativo,Cobrança Indevida,0,59
"Nubank: Demora na entrega e impossibilidade de recebimento do cartão, gerando frustração e ameaça de processo.",Cartão de Crédito,3,110
Dívida com Nubank continua restrita após acordo e consulta,Cobrança Indevida,3,58
"Contestação de boleto pago por motivo de [Editado pelo Reclame Aqui], dificultada pelo atendimento via Central do Nubank.",Atendimento,0,121
Cobrança indevida e juros abusivos mesmo após apresentação de comprovantes de pagamento,Cobrança Indevida,2,87
Nubank se recusa a estornar compra indevida via NuPay e não oferece suporte adequado ao cliente,Atendimento,0,95
Nubank: Cobrança Indevida e Bloqueio de Conta Geram Insatisfação de Cliente Antigo,Cobrança Indevida,2,82
Bloqueio Indevido de Conta e Retenção Injustificada de Valores,Cobrança Indevida,1,62
"Nubank constrange pessoas trans ao exibir nome civil em transferências Pix, apesar de envio de RG com nome social",Problemas com PIX,0,113
"Nubank constrange pessoas trans ao exibir nome civil em transferências Pix, apesar de envio de RG com nome social",Problemas com PIX,0,113
"Impossível obter informe de rendimentos via aplicativo, mesmo após contato com o chat",Outros,0,85
Pagamento de dívida não refletido no limite do cartão de crédito,Cartão de Crédito,3,64
"Saque indevido em caixa eletrônico, banco não resolve e joga responsabilidade para terceiros.",Cobrança Indevida,0,93
Cobrança indevida após quitação de dívida renegociada com Serasa,Cobrança Indevida,2,64
Encerramento unilateral de conta e bloqueio de Pix com alerta de 'risco de [Editado pelo Reclame Aqui]',Problemas com PIX,0,103
Compra não autorizada na Uber no cartão virtual da nubank,Cartão de Crédito,3,57
Solicitação de reativação de cartão de crédito após quitação de dívida,Cartão de Crédito,3,70
Nubank se recusa a estornar Pix enviado por engano para conta desativada.,Atendimento,1,73
Nubank Ultravioleta: Dificuldade de Contato e Falta de Retorno sobre Convite,Outros,0,76
Consta no registrato dívida liquidada que impede acesso a crédito e causa danos,Acesso à Conta,3,79
Não baixa de pagamento,Outros,3,22
Pix automático sem consentimento,Problemas com PIX,0,32
Solicitação de Isenção de Juros e Multa após Impossibilidade de Pagamento por Motivos de Saúde,Acesso à Conta,3,94
"Cobrança indevida Google On no cartão Nubank, solicitação de cancelamento e estorno",Cartão de Crédito,2,83
Solicitação de Isenção de Juros e Multa após Impossibilidade de Pagamento por Motivos de Saúde,Acesso à Conta,3,94
"Cobrança indevida Google On no cartão Nubank, solicitação de cancelamento e estorno",Cartão de Crédito,2,83
Conta bloqueada e sem retorno sobre o resgate do saldo retido.,Outros,1,62
Nubank: Demora na aprovação de conta após cadastro finalizado,Outros,1,61
Cobrança indevida de produto já pago e com entrega errada,Cobrança Indevida,2,57
Cobrança Duplicada de Assinatura Mercado Livre: Nubank e Mercado Livre não resolvem.,Cobrança Indevida,2,84
Solicitação de exclusão de registro de dívida após 5 anos e violação de dados pessoais,Cobrança Indevida,3,86
Solicitação de encerramento de conta e desvinculo junto ao Registrado do Banco Central,Bloqueio de Conta,0,86
Cartão PJ Nubank não entregue e erro na emissão de nova via,Cartão de Crédito,1,59
Cobranças indevidas no cartão de crédito pela Uber sem autorização e sem registro no histórico do aplicativo,Cartão de Crédito,3,108
Cartão físico não recebido e solicitação de novo cartão,Cartão de Crédito,3,55
12hrs de Bloqueio indevido de Pix por su..,Problemas com PIX,1,42
"Nubank bloqueia cartão e cobra juros abusivos após pagamento de fatura e empréstimo, incluindo negativação no Serasa.",Empréstimo,3,117
Falha no acesso ao aplicativo após inserção de informações,Acesso à Conta,0,58
Solicitação de Extratos Detalhados NuInvest: Período 08/2025 a 02/2026 - Dificuldade no Aplicativo,Outros,0,98
"Pagamento de dívida não refletido no Bacen, solicitação de regulamentação",Cobrança Indevida,3,73
Redução de limite após estornos e cobrança retroativa pela 99Pay,Cartão de Crédito,2,64
Proposta de acordo alterada e inviabilização de pagamento,Outros,3,57
NUBANK cancelou minha conta com dinheiro travado há mais de um mês e não respondem e-mails,Outros,1,90
Aumento de Limite e interesse em continuar com a usabilidade do cartão,Cartão de Crédito,3,70
"Nubank: Cartão bloqueado, envio para endereço errado e redução drástica do limite.",Cartão de Crédito,3,82
Cliente com 12 anos de fidelidade e score alto é ignorado em ofertas de alta renda,Outros,0,82
Descaso e falta de suporte do Nubank e Casas Bahia na resolução de entrega indevida de produto e estorno,Atendimento,2,104
Fatura aqui não dá certo,Outros,0,24
Cobrança duplicada em viagem UBER,Cobrança Indevida,2,33
Vazamento de dados,Outros,0,18
[Editado pelo Reclame Aqui] NUBANK CAUSANDO DANOS IRREPARÁVEIS AO MEU CNPJ COM ALERTAS DE [Editado pelo Reclame Aqui],Outros,0,117
Limite adicional de cartão de crédito não restabelecido após pagamento integral da fatura,Cartão de Crédito,3,89
Bloqueio de cartão sem solução,Cartão de Crédito,1,30
Demora na contestação de estorno e mau atendimento no Nubank após 30 dias de tentativas.,Atendimento,1,88
"quero o reembolso do valor no meu saldo crédito, e que saia aas parcelas onde está aparecendo",Outros,0,93
Impossibilidade de converter dinheiro para o cartão de crédito e sumiço de limite,Cartão de Crédito,3,81
"Nubank bloqueou limite, conta e cartão após recebimento de Pix de auxílio",Cartão de Crédito,3,73
Cobrança indevida.,Cobrança Indevida,2,18
